Mouse Gene Identifier,Mouse Gene Product Description,Plasmodium Gene Indentifier,Plasmodium Gene Product Description,Interaction Type
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_146020,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_146040,"peptidyl-propyl isomerase, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_146140,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000044819,oxoglutarate (alpha-ketoglutarate) receptor 1 [Source:MGI Symbol;Acc:MGI:2685145],PBANKA_146280,"apicoplast dimethyladenosine synthase, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_146320,"Hbeta58/Vps26 protein homologue, putative",ISIGEM
ENSMUSG00000024223,RIKEN cDNA 4930511I11 gene [Source:MGI Symbol;Acc:MGI:1914895],PBANKA_146480,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000003039,"family with sequence similarity 32, member A [Source:MGI Symbol;Acc:MGI:1915172]",PBANKA_010330,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000017978,Ca2+-dependent activator protein for secretion 2 [Source:MGI Symbol;Acc:MGI:2443963],PBANKA_010330,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000020609,apolipoprotein B [Source:MGI Symbol;Acc:MGI:88052],PBANKA_010330,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000040389,WD repeat domain 47 [Source:MGI Symbol;Acc:MGI:2139593],PBANKA_010330,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000042302,EH domain binding protein 1 [Source:MGI Symbol;Acc:MGI:2667252],PBANKA_010330,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000046372,predicted gene 5590 [Source:MGI Symbol;Acc:MGI:3645451],PBANKA_010330,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000027546,"ATPase, class II, type 9A [Source:MGI Symbol;Acc:MGI:1330826]",PBANKA_010620,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000021124,vesicle transport through interaction with t-SNAREs 1B homolog [Source:MGI Symbol;Acc:MGI:1855688],PBANKA_010630,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000015656,heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384],PBANKA_010760,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000006095,tubulin folding cofactor B [Source:MGI Symbol;Acc:MGI:1913661],PBANKA_011210,"transcription factor with AP2 domain(s), putative",Y2H-interologue
ENSMUSG00000005973,reticulocalbin 1 [Source:MGI Symbol;Acc:MGI:104559],PBANKA_020650,"Rab5c, GTPase, putative",Y2H-interologue
ENSMUSG00000020817,"rabaptin, RAB GTPase binding effector protein 1 [Source:MGI Symbol;Acc:MGI:1860236]",PBANKA_020650,"Rab5c, GTPase, putative",Y2H-interologue
ENSMUSG00000033066,growth arrest specific 7 [Source:MGI Symbol;Acc:MGI:1202388],PBANKA_020660,"asparagine and aspartate rich protein 2, putative",Y2H-interologue
ENSMUSG00000056222,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1 [Source:MGI Symbol;Acc:MGI:105371]",PBANKA_021010,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000002900,laminin B1 [Source:MGI Symbol;Acc:MGI:96743],PBANKA_021270,"zinc finger protein, putative",Y2H-interologue
ENSMUSG00000014602,kinesin family member 1A [Source:MGI Symbol;Acc:MGI:108391],PBANKA_031080,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000003031,cyclin-dependent kinase inhibitor 1B [Source:MGI Symbol;Acc:MGI:104565],PBANKA_031330,MtN3-like protein,Y2H-interologue
ENSMUSG00000050335,"lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]",PBANKA_040600,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000016346,"potassium voltage-gated channel, subfamily Q, member 2 [Source:MGI Symbol;Acc:MGI:1309503]",PBANKA_040830,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000039713,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5 [Source:MGI Symbol;Acc:MGI:2652860]",PBANKA_040830,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000030516,tight junction protein 1 [Source:MGI Symbol;Acc:MGI:98759],PBANKA_040850,parasite-infected erythrocyte surface protein,Y2H-interologue
ENSMUSG00000027835,programmed cell death 10 [Source:MGI Symbol;Acc:MGI:1928396],PBANKA_041240,"zinc finger protein, putative",Y2H-interologue
ENSMUSG00000028229,"family with sequence similarity 82, member B [Source:MGI Symbol;Acc:MGI:1913552]",PBANKA_041240,"zinc finger protein, putative",Y2H-interologue
ENSMUSG00000069601,"ankyrin 3, epithelial [Source:MGI Symbol;Acc:MGI:88026]",PBANKA_041240,"zinc finger protein, putative",Y2H-interologue
ENSMUSG00000026875,TNF receptor-associated factor 1 [Source:MGI Symbol;Acc:MGI:101836],PBANKA_041600,"RhopH3, putative",Y2H-interologue
ENSMUSG00000027575,ADP-ribosylation factor GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:2183559],PBANKA_041600,"RhopH3, putative",Y2H-interologue
ENSMUSG00000000631,myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185],PBANKA_041650,"ATPase, putative",Y2H-interologue
ENSMUSG00000022064,progesterone immunomodulatory binding factor 1 [Source:MGI Symbol;Acc:MGI:1261910],PBANKA_041650,"ATPase, putative",Y2H-interologue
ENSMUSG00000038170,phosphodiesterase 4D interacting protein (myomegalin) [Source:MGI Symbol;Acc:MGI:1891434],PBANKA_041650,"ATPase, putative",Y2H-interologue
ENSMUSG00000039298,CDK5 regulatory subunit associated protein 2 [Source:MGI Symbol;Acc:MGI:2384875],PBANKA_041650,"ATPase, putative",Y2H-interologue
ENSMUSG00000060780,leucine rich repeat transmembrane neuronal 1 [Source:MGI Symbol;Acc:MGI:2389173],PBANKA_041650,"ATPase, putative",Y2H-interologue
ENSMUSG00000003464,peroxisomal biogenesis factor 19 [Source:MGI Symbol;Acc:MGI:1334458],PBANKA_041790,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000028552,epidermal growth factor receptor pathway substrate 15 [Source:MGI Symbol;Acc:MGI:104583],PBANKA_041790,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000029636,"WAS protein family, member 3 [Source:MGI Symbol;Acc:MGI:2658986]",PBANKA_041790,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000030007,"chaperonin containing Tcp1, subunit 7 (eta) [Source:MGI Symbol;Acc:MGI:107184]",PBANKA_041790,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000033577,myosin VI [Source:MGI Symbol;Acc:MGI:104785],PBANKA_041790,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000038848,YTH domain family 1 [Source:MGI Symbol;Acc:MGI:1917431],PBANKA_041790,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000002900,laminin B1 [Source:MGI Symbol;Acc:MGI:96743],PBANKA_050320,"eukaryotic translation initiation factor subunit eIF2A, putative",Y2H-interologue
ENSMUSG00000021270,"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]",PBANKA_050320,"eukaryotic translation initiation factor subunit eIF2A, putative",Y2H-interologue
ENSMUSG00000022757,Trk-fused gene [Source:MGI Symbol;Acc:MGI:1338041],PBANKA_050320,"eukaryotic translation initiation factor subunit eIF2A, putative",Y2H-interologue
ENSMUSG00000024966,stress-induced phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:109130],PBANKA_050320,"eukaryotic translation initiation factor subunit eIF2A, putative",Y2H-interologue
ENSMUSG00000036499,early endosome antigen 1 [Source:MGI Symbol;Acc:MGI:2442192],PBANKA_050320,"eukaryotic translation initiation factor subunit eIF2A, putative",Y2H-interologue
ENSMUSG00000037754,"protein phosphatase 1, regulatory (inhibitor) subunit 16B [Source:MGI Symbol;Acc:MGI:2151841]",PBANKA_050320,"eukaryotic translation initiation factor subunit eIF2A, putative",Y2H-interologue
ENSMUSG00000056050,melanoma inhibitory activity protein 3 precursor  [Source:RefSeq peptide;Acc:NP_796363],PBANKA_050320,"eukaryotic translation initiation factor subunit eIF2A, putative",Y2H-interologue
ENSMUSG00000026585,kinesin-associated protein 3 [Source:MGI Symbol;Acc:MGI:107566],PBANKA_050890,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000017412,"calcium channel, voltage-dependent, beta 4 subunit [Source:MGI Symbol;Acc:MGI:103301]",PBANKA_050900,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000021922,"inter alpha-trypsin inhibitor, heavy chain 4 [Source:MGI Symbol;Acc:MGI:109536]",PBANKA_050900,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000026131,dystonin [Source:MGI Symbol;Acc:MGI:104627],PBANKA_050900,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000038170,phosphodiesterase 4D interacting protein (myomegalin) [Source:MGI Symbol;Acc:MGI:1891434],PBANKA_050900,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000057914,"calcium channel, voltage-dependent, beta 2 subunit [Source:MGI Symbol;Acc:MGI:894644]",PBANKA_050900,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000028161,"protein phosphatase 3, catalytic subunit, alpha isoform [Source:MGI Symbol;Acc:MGI:107164]",PBANKA_050920,"formin 2, putative",Y2H-interologue
ENSMUSG00000026764,kinesin family member 5C [Source:MGI Symbol;Acc:MGI:1098269],PBANKA_051120,"small subunit rRNA processing stabilizing factor, putative",Y2H-interologue
ENSMUSG00000061808,transthyretin [Source:MGI Symbol;Acc:MGI:98865],PBANKA_051120,"small subunit rRNA processing stabilizing factor, putative",Y2H-interologue
ENSMUSG00000002985,apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057],PBANKA_051140,"merozoite capping protein 1, putative",Y2H-interologue
ENSMUSG00000038145,SNF related kinase [Source:MGI Symbol;Acc:MGI:108104],PBANKA_051140,"merozoite capping protein 1, putative",Y2H-interologue
ENSMUSG00000026864,heat shock protein 5 [Source:MGI Symbol;Acc:MGI:95835],PBANKA_051590,"dcp1 homologue, putative",Y2H-interologue
ENSMUSG00000028906,erythrocyte protein band 4.1 [Source:MGI Symbol;Acc:MGI:95401],PBANKA_051610,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000032181,secretogranin III [Source:MGI Symbol;Acc:MGI:103032],PBANKA_051610,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000070287,transmembrane protein 22 [Source:MGI Symbol;Acc:MGI:2685365],PBANKA_052140,RIO-like kinase,Y2H-interologue
ENSMUSG00000061808,transthyretin [Source:MGI Symbol;Acc:MGI:98865],PBANKA_060490,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000036499,early endosome antigen 1 [Source:MGI Symbol;Acc:MGI:2442192],PBANKA_060560,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000063810,Alstrom syndrome 1 homolog (human) [Source:MGI Symbol;Acc:MGI:1934606],PBANKA_060910,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000004535,Tax1 (human T-cell leukemia virus type I) binding protein 1 [Source:MGI Symbol;Acc:MGI:1289308],PBANKA_061240,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000005034,"protein kinase, cAMP dependent, catalytic, beta [Source:MGI Symbol;Acc:MGI:97594]",PBANKA_061240,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000028229,"family with sequence similarity 82, member B [Source:MGI Symbol;Acc:MGI:1913552]",PBANKA_061240,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000035540,group specific component [Source:MGI Symbol;Acc:MGI:95669],PBANKA_061770,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000022240,"catenin (cadherin associated protein), delta 2 [Source:MGI Symbol;Acc:MGI:1195966]",PBANKA_061830,"Ham1-like protein, putative",Y2H-interologue
ENSMUSG00000015656,heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384],PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000026131,dystonin [Source:MGI Symbol;Acc:MGI:104627],PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000029502,"golgi autoantigen, golgin subfamily a, 3 [Source:MGI Symbol;Acc:MGI:96958]",PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000032855,polycystic kidney disease 1 homolog [Source:MGI Symbol;Acc:MGI:97603],PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000033319,fem-1 homolog c (C.elegans) [Source:MGI Symbol;Acc:MGI:2444737],PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000038039,GRIP and coiled-coil domain containing 2 [Source:MGI Symbol;Acc:MGI:1917547],PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000038708,"golgi autoantigen, golgin subfamily a, 4 [Source:MGI Symbol;Acc:MGI:1859646]",PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000064105,cyclin M2 [Source:MGI Symbol;Acc:MGI:2151054],PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000090546,cerebellar degeneration related antigen 1 [Source:MGI Symbol;Acc:MGI:88359],PBANKA_061970,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000006529,"inter-alpha trypsin inhibitor, heavy chain 1 [Source:MGI Symbol;Acc:MGI:96618]",PBANKA_070280,protein disulfide isomerase,Y2H-interologue
ENSMUSG00000032014,OAF homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:94852],PBANKA_070280,protein disulfide isomerase,Y2H-interologue
ENSMUSG00000011751,spectrin beta 4 [Source:MGI Symbol;Acc:MGI:1890574],PBANKA_070450,"ubiquitin-protein ligase 1, putative",Y2H-interologue
ENSMUSG00000018707,dynein cytoplasmic 1 heavy chain 1 [Source:MGI Symbol;Acc:MGI:103147],PBANKA_070450,"ubiquitin-protein ligase 1, putative",Y2H-interologue
ENSMUSG00000040549,cytoskeleton associated protein 5 [Source:MGI Symbol;Acc:MGI:1923036],PBANKA_070450,"ubiquitin-protein ligase 1, putative",Y2H-interologue
ENSMUSG00000017412,"calcium channel, voltage-dependent, beta 4 subunit [Source:MGI Symbol;Acc:MGI:103301]",PBANKA_070510,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000026864,heat shock protein 5 [Source:MGI Symbol;Acc:MGI:95835],PBANKA_070510,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000049313,"sortilin-related receptor, LDLR class A repeats-containing [Source:MGI Symbol;Acc:MGI:1202296]",PBANKA_070510,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000062591,"tubulin, beta 4 [Source:MGI Symbol;Acc:MGI:107848]",PBANKA_070510,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000059834,sodium channel and clathrin linker 1 [Source:MGI Symbol;Acc:MGI:1914411],PBANKA_071180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000001105,intraflagellar transport 20 homolog (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:1915585],PBANKA_071260,"14-3-3 protein, putative",Y2H-interologue
ENSMUSG00000020849,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:894689]",PBANKA_071260,"14-3-3 protein, putative",Y2H-interologue
ENSMUSG00000032220,myosin IE [Source:MGI Symbol;Acc:MGI:106621],PBANKA_071260,"14-3-3 protein, putative",Y2H-interologue
ENSMUSG00000035437,RAB GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:2385139],PBANKA_071260,"14-3-3 protein, putative",Y2H-interologue
ENSMUSG00000040687,MAP-kinase activating death domain [Source:MGI Symbol;Acc:MGI:2444672],PBANKA_071260,"14-3-3 protein, putative",Y2H-interologue
ENSMUSG00000045414,RIKEN cDNA 1190002N15 gene [Source:MGI Symbol;Acc:MGI:1916111],PBANKA_071260,"14-3-3 protein, putative",Y2H-interologue
ENSMUSG00000054920,kelch-like 5 (Drosophila) [Source:MGI Symbol;Acc:MGI:1919028],PBANKA_071260,"14-3-3 protein, putative",Y2H-interologue
ENSMUSG00000057335,centrosomal protein 170 [Source:MGI Symbol;Acc:MGI:1918348],PBANKA_071260,"14-3-3 protein, putative",Y2H-interologue
ENSMUSG00000009073,neurofibromatosis 2 [Source:MGI Symbol;Acc:MGI:97307],PBANKA_080130,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000038039,GRIP and coiled-coil domain containing 2 [Source:MGI Symbol;Acc:MGI:1917547],PBANKA_080130,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000049550,CAP-GLY domain containing linker protein 1 [Source:MGI Symbol;Acc:MGI:1928401],PBANKA_080130,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000021556,golgi membrane protein 1 [Source:MGI Symbol;Acc:MGI:1917329],PBANKA_080180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000023944,"heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]",PBANKA_080180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000024661,ferritin heavy chain 1 [Source:MGI Symbol;Acc:MGI:95588],PBANKA_080180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000027350,chromogranin B [Source:MGI Symbol;Acc:MGI:88395],PBANKA_080180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000035299,midline 1 [Source:MGI Symbol;Acc:MGI:1100537],PBANKA_080180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000038587,A kinase (PRKA) anchor protein (gravin) 12 [Source:MGI Symbol;Acc:MGI:1932576],PBANKA_080180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000056602,furry homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:2443895],PBANKA_080180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000074994,glutamine and serine rich 1 [Source:MGI Symbol;Acc:MGI:2138986],PBANKA_080180,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000021270,"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]",PBANKA_080570,"heat shock protein 90, putative",Y2H-interologue
ENSMUSG00000043384,G protein-coupled receptor associated sorting protein 1 [Source:MGI Symbol;Acc:MGI:1917418],PBANKA_080570,"heat shock protein 90, putative",Y2H-interologue
ENSMUSG00000064289,TRAF family member-associated Nf-kappa B activator [Source:MGI Symbol;Acc:MGI:107676],PBANKA_080570,"heat shock protein 90, putative",Y2H-interologue
ENSMUSG00000040462,amplified in osteosarcoma [Source:MGI Symbol;Acc:MGI:1924301],PBANKA_080800,cdc2-related protein kinase 4,Y2H-interologue
ENSMUSG00000032826,"ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]",PBANKA_081140,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000024044,erythrocyte protein band 4.1-like 3 [Source:MGI Symbol;Acc:MGI:103008],PBANKA_081640,"6-phosphofructokinase, putative",Y2H-interologue
ENSMUSG00000024359,heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245],PBANKA_081640,"6-phosphofructokinase, putative",Y2H-interologue
ENSMUSG00000027624,erythrocyte protein band 4.1-like 1 [Source:MGI Symbol;Acc:MGI:103010],PBANKA_081640,"6-phosphofructokinase, putative",Y2H-interologue
ENSMUSG00000059834,sodium channel and clathrin linker 1 [Source:MGI Symbol;Acc:MGI:1914411],PBANKA_082070,TLD domain-containing protein,Y2H-interologue
ENSMUSG00000019820,utrophin [Source:MGI Symbol;Acc:MGI:104631],PBANKA_082080,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000020115,TANK-binding kinase 1 [Source:MGI Symbol;Acc:MGI:1929658],PBANKA_082080,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000025151,"melanoma antigen, family D, 1 [Source:MGI Symbol;Acc:MGI:1930187]",PBANKA_082080,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000029050,ski sarcoma viral oncogene homolog (avian) [Source:MGI Symbol;Acc:MGI:98310],PBANKA_082080,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000025809,integrin beta 1 (fibronectin receptor beta) [Source:MGI Symbol;Acc:MGI:96610],PBANKA_082280,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000026442,neurofascin [Source:MGI Symbol;Acc:MGI:104753],PBANKA_082280,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000026715,"serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1 [Source:MGI Symbol;Acc:MGI:88095]",PBANKA_082280,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000032554,transferrin [Source:MGI Symbol;Acc:MGI:98821],PBANKA_082280,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000050440,hepcidin antimicrobial peptide [Source:MGI Symbol;Acc:MGI:1933533],PBANKA_082280,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000056978,hepcidin antimicrobial peptide 2 [Source:MGI Symbol;Acc:MGI:2153530],PBANKA_082280,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000090639,"signal recognition particle receptor, B subunit [Source:MGI Symbol;Acc:MGI:102964]",PBANKA_082280,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000036323,signal recognition particle 72 [Source:MGI Symbol;Acc:MGI:1333795],PBANKA_082300,"ubiquitin-like protein, putative",Y2H-interologue
ENSMUSG00000021270,"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]",PBANKA_082310,"S-adenosylmethionine synthetase, putative",Y2H-interologue
ENSMUSG00000032826,"ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]",PBANKA_082310,"S-adenosylmethionine synthetase, putative",Y2H-interologue
ENSMUSG00000063077,kinesin family member 1B [Source:MGI Symbol;Acc:MGI:108426],PBANKA_082310,"S-adenosylmethionine synthetase, putative",Y2H-interologue
ENSMUSG00000019846,"laminin, alpha 4 [Source:MGI Symbol;Acc:MGI:109321]",PBANKA_082340,"phosphoglycerate kinase, putative",Y2H-interologue
ENSMUSG00000035540,group specific component [Source:MGI Symbol;Acc:MGI:95669],PBANKA_090720,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000020849,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:894689]",PBANKA_090770,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000027674,peroxisomal biogenesis factor 5-like [Source:MGI Symbol;Acc:MGI:1916672],PBANKA_090770,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000032554,transferrin [Source:MGI Symbol;Acc:MGI:98821],PBANKA_090770,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000090639,"signal recognition particle receptor, B subunit [Source:MGI Symbol;Acc:MGI:102964]",PBANKA_090770,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000020849,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:894689]",PBANKA_091600,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000003863,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3 [Source:MGI Symbol;Acc:MGI:1924037]",PBANKA_091780,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000037519,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 [Source:MGI Symbol;Acc:MGI:1924750]",PBANKA_091780,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000002900,laminin B1 [Source:MGI Symbol;Acc:MGI:96743],PBANKA_092420,"neutral-sphingomyelinase activation factor protein, putative",Y2H-interologue
ENSMUSG00000003863,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3 [Source:MGI Symbol;Acc:MGI:1924037]",PBANKA_092420,"neutral-sphingomyelinase activation factor protein, putative",Y2H-interologue
ENSMUSG00000007207,syntaxin 1A (brain) [Source:MGI Symbol;Acc:MGI:109355],PBANKA_092420,"neutral-sphingomyelinase activation factor protein, putative",Y2H-interologue
ENSMUSG00000020580,Rho-associated coiled-coil containing protein kinase 2 [Source:MGI Symbol;Acc:MGI:107926],PBANKA_092420,"neutral-sphingomyelinase activation factor protein, putative",Y2H-interologue
ENSMUSG00000021198,unc-79 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:2684729],PBANKA_092420,"neutral-sphingomyelinase activation factor protein, putative",Y2H-interologue
ENSMUSG00000024077,"striatin, calmodulin binding protein [Source:MGI Symbol;Acc:MGI:1333757]",PBANKA_092420,"neutral-sphingomyelinase activation factor protein, putative",Y2H-interologue
ENSMUSG00000030805,syntaxin 4A (placental) [Source:MGI Symbol;Acc:MGI:893577],PBANKA_092420,"neutral-sphingomyelinase activation factor protein, putative",Y2H-interologue
ENSMUSG00000035007,RUN domain containing 1 [Source:MGI Symbol;Acc:MGI:2144506],PBANKA_092420,"neutral-sphingomyelinase activation factor protein, putative",Y2H-interologue
ENSMUSG00000032504,programmed cell death 6 interacting protein [Source:MGI Symbol;Acc:MGI:1333753],PBANKA_092670,circumsporozoite-related antigen,Y2H-interologue
ENSMUSG00000026131,dystonin [Source:MGI Symbol;Acc:MGI:104627],PBANKA_093200,"moving junction protein, putative",Y2H-interologue
ENSMUSG00000040025,YTH domain family 2 [Source:MGI Symbol;Acc:MGI:2444233],PBANKA_093200,"moving junction protein, putative",Y2H-interologue
ENSMUSG00000020272,serine/threonine kinase 10 [Source:MGI Symbol;Acc:MGI:1099439],PBANKA_093900,"ion channel protein, putative",Y2H-interologue
ENSMUSG00000035620,resistance to inhibitors of cholinesterase 8 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:2682307],PBANKA_093910,"transcription factor with AP2 domain(s), putative",Y2H-interologue
ENSMUSG00000032740,coiled coil domain containing 88A [Source:MGI Symbol;Acc:MGI:1925177],PBANKA_100200,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000015656,heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384],PBANKA_100410,"conserved Plasmodium protein, unknown function",Y2H-interologue
ENSMUSG00000028356,alpha 1 microglobulin/bikunin [Source:MGI Symbol;Acc:MGI:88002],PBANKA_100410,"conserved Plasmodium protein, unknown function",Y2H-interologue
